"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         130,      -5.566803579,      -5.226845071,      -5.290016895,      -4.822923491
          0,           0,         131,      -5.607324935,      -5.269631042,      -5.325885442,      -4.877333833
          0,           0,         132,      -5.568170194,      -5.228262221,      -5.290816185,      -4.824534149
          0,           0,         133,      -5.609060097,      -5.271467086,      -5.326884804,      -4.879511959
          0,           0,         134,      -5.569384409,       -5.22954066,      -5.291506562,      -4.825951873
          0,           0,         135,      -5.610627878,      -5.273169557,       -5.32779591,      -4.881446989
          0,           0,         136,      -5.570460228,      -5.230723705,      -5.292122813,      -4.827182582
          0,           0,         137,      -5.612047434,      -5.274780083,      -5.328647524,       -4.88317214
          0,           0,         138,      -5.571424003,      -5.231839479,      -5.292698495,      -4.828264847
          0,           0,         139,      -5.613324867,      -5.276297752,      -5.329443664,      -4.884716348
          0,           0,         140,      -5.572287412,      -5.232887891,      -5.293240056,      -4.829224733
          0,           0,         141,      -5.614459029,      -5.277704489,      -5.330172376,      -4.886081891
          0,           0,         142,      -5.573054224,      -5.233856365,      -5.293738753,      -4.830062859
          0,           0,         143,      -5.615463101,      -5.278993925,      -5.330830421,      -4.887273475
          0,           0,         144,      -5.573738155,      -5.234744846,       -5.29419332,      -4.830791492
          0,           0,         145,      -5.616364467,      -5.280176782,      -5.331431767,      -4.888321785
          0,           0,         146,      -5.574358263,      -5.235560066,      -5.294614614,      -4.831434977
          0,           0,         147,      -5.617185465,      -5.281261602,       -5.33199162,      -4.889260483
          0,           0,         148,      -5.574927195,      -5.236304124,      -5.295011188,      -4.832010611
          0,           0,         149,      -5.617933705,      -5.282245881,      -5.332512412,      -4.890101261
          0,           0,         150,      -5.575449778,      -5.236976954,      -5.295384482,      -4.832523661
          0,           0,         151,      -5.618611765,      -5.283129985,      -5.332992026,      -4.890843261
          0,           0,         152,      -5.575927624,      -5.237581312,      -5.295731041,      -4.832973509
          0,           0,         153,      -5.619226242,      -5.283923305,      -5.333430834,      -4.891491494
          0,           0,         154,      -5.576366433,      -5.238126498,      -5.296050576,      -4.833366943
          0,           0,         155,      -5.619789236,      -5.284642598,      -5.333834451,      -4.892064116
          0,           0,         156,       -5.57677567,      -5.238625781,      -5.296347999,       -4.83371843
          0,           0,         157,       -5.62031159,      -5.285302872,      -5.334208978,      -4.892579544
          0,           0,         158,      -5.577161724,      -5.239088225,      -5.296627097,       -4.83403779
          0,           0,         159,        -5.6207969,      -5.285911119,      -5.334554762,      -4.893044261
          0,           0,         160,      -5.577525777,       -5.23951755,      -5.296886311,       -4.83432768
          0,           0,         161,       -5.62124623,      -5.286471619,      -5.334869683,      -4.893459381
          0,           0,         162,      -5.577865797,      -5.239914864,      -5.297120713,      -4.834586755
          0,           0,         163,      -5.621659726,       -5.28698686,      -5.335150342,      -4.893828532
          0,           0,         164,      -5.578187477,      -5.240287903,      -5.297335639,      -4.834821338
          0,           0,         165,      -5.622039757,      -5.287461753,      -5.335397658,      -4.894158173
          0,           0,         166,      -5.578501164,      -5.240646625,      -5.297541082,      -4.835044408
          0,           0,         167,      -5.622396126,      -5.287905917,      -5.335622301,      -4.894456356
          0,           0,         168,      -5.578804028,      -5.240987722,      -5.297732838,      -4.835253858
          0,           0,         169,      -5.622730549,      -5.288319646,      -5.335825782,      -4.894724804
          0,           0,         170,      -5.579091439,      -5.241306501,       -5.29790576,      -4.835444112
          0,           0,         171,      -5.623040101,      -5.288699459,      -5.336003994,      -4.894960723
          0,           0,         172,      -5.579363052,      -5.241602356,      -5.298059691,      -4.835614345
          0,           0,         173,      -5.623324541,      -5.289044845,      -5.336156898,      -4.895164346
          0,           0,         174,       -5.57962069,      -5.241876867,      -5.298197029,      -4.835766636
          0,           0,         175,      -5.623586041,      -5.289357686,      -5.336287137,      -4.895338548
          0,           0,         176,      -5.579866448,      -5.242131626,       -5.29832068,      -4.835902763
          0,           0,         177,      -5.623823801,       -5.28963671,       -5.33639434,      -4.895482286
          0,           0,         178,      -5.580099865,       -5.24236592,      -5.298430904,      -4.836021986
          0,           0,         179,      -5.624035729,      -5.289880022,      -5.336476922,      -4.895592485
          0,           0,         180,      -5.580319281,      -5.242578087,      -5.298526231,      -4.836122795
          0,           0,         181,      -5.624222663,      -5.290088217,      -5.336536184,      -4.895668801
          0,           0,         182,      -5.580523998,      -5.242767713,      -5.298605682,      -4.836204167
          0,           0,         183,      -5.624387065,      -5.290264045,      -5.336574516,      -4.895713934
          0,           0,         184,      -5.580714688,      -5.242935717,      -5.298670136,      -4.836266497
          0,           0,         185,      -5.624530215,       -5.29040894,      -5.336593507,      -4.895729632
          0,           0,         186,      -5.580892179,      -5.243083129,      -5.298720771,      -4.836310522
          0,           0,         187,      -5.624652389,      -5.290523571,      -5.336593306,      -4.895716528
          0,           0,         188,      -5.581056998,      -5.243210684,      -5.298758171,      -4.836336561
          0,           0,         189,       -5.62475413,      -5.290609186,      -5.336573876,      -4.895675502
