"PointID","x","y","Pressure","Velocity_x","Velocity_y","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
22, 9.883378096337521e-01, 2.583718718702404e-04, 1.764685056255026e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.529370112510052e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.476797661677684e-03, -5.428663970768521e-05, -0.000000000000000e+00, 8.442569703914723e+00, 0.000000000000000e+00
23, 9.878635151873467e-01, 2.758067936577803e-04, 1.785732315149801e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.571464630299602e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.415112307291088e-03, -5.201910455665347e-05, -0.000000000000000e+00, 8.264197853868465e+00, 0.000000000000000e+00
24, 9.873451971683018e-01, 2.948600087894483e-04, 1.785367698181577e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.570735396363155e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.367407662745103e-03, -5.026549611179759e-05, -0.000000000000000e+00, 8.123515848005715e+00, 0.000000000000000e+00
25, 9.867788199973708e-01, 3.156798639496076e-04, 1.768604838737219e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.537209677474438e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.332658115017121e-03, -4.898811314563364e-05, -0.000000000000000e+00, 8.019415244904602e+00, 0.000000000000000e+00
26, 9.861599880345812e-01, 3.384279415470521e-04, 1.736866081365157e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.473732162730315e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.308918804236888e-03, -4.811546319182578e-05, -0.000000000000000e+00, 7.947423098383284e+00, 0.000000000000000e+00
27, 9.854839153824202e-01, 3.632801697408495e-04, 1.692875514044260e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.385751028088521e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.294485740306702e-03, -4.758490808478654e-05, -0.000000000000000e+00, 7.903208349795314e+00, 0.000000000000000e+00
28, 9.847453935369419e-01, 3.904280115759930e-04, 1.638297306182485e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.276594612364971e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.287498404944310e-03, -4.732805572974129e-05, -0.000000000000000e+00, 7.881536871791035e+00, 0.000000000000000e+00
29, 9.839387568112676e-01, 4.200797360051347e-04, 1.575097822249320e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.150195644498641e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.286293053218881e-03, -4.728374736134507e-05, -0.000000000000000e+00, 7.877492653978480e+00, 0.000000000000000e+00
30, 9.830578454714508e-01, 4.524617730031682e-04, 1.506279529810178e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.012559059620357e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.289025586458661e-03, -4.738419446478928e-05, -0.000000000000000e+00, 7.885454957592988e+00, 0.000000000000000e+00
31, 9.820959665453889e-01, 4.878201542198777e-04, 1.432187324961948e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.864374649923897e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.294268157972459e-03, -4.757690982335536e-05, -0.000000000000000e+00, 7.901021335154432e+00, 0.000000000000000e+00
