"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         124,       -5.42842116,      -4.601043964,      -4.674823919,      -9.634610238
          0,           0,         125,      -5.431165225,      -4.611728161,      -4.693042259,      -9.626017094
          0,           0,         126,      -5.430689815,      -4.622860328,      -4.712828848,      -9.618038694
          0,           0,         127,      -5.428077059,       -4.63396097,      -4.733612047,      -9.610681114
          0,           0,         128,       -5.42444202,      -4.644517898,      -4.754662538,      -9.604004963
          0,           0,         129,      -5.420789264,      -4.654028648,      -4.775099768,      -9.598008889
          0,           0,         130,      -5.417941644,      -4.662053269,      -4.793937466,      -9.592655322
          0,           0,         131,      -5.416513403,       -4.66826884,       -4.81018666,       -9.58789075
          0,           0,         132,      -5.416964163,      -4.672516175,       -4.82298836,      -9.583656194
          0,           0,         133,      -5.419608264,      -4.674815413,        -4.8317862,      -9.579795065
          0,           0,         134,      -5.424620872,      -4.675359479,      -4.836458074,      -9.576353609
          0,           0,         135,      -5.432070019,      -4.674478445,      -4.837335727,      -9.573251308
          0,           0,         136,      -5.441968136,      -4.672587761,      -4.835109197,      -9.570395268
          0,           0,         137,      -5.454243919,      -4.670133937,       -4.83069087,      -9.567658662
          0,           0,         138,      -5.468744938,      -4.667549007,      -4.825051058,      -9.565063739
          0,           0,         139,      -5.485240136,      -4.665218315,       -4.81909423,      -9.562493723
          0,           0,         140,      -5.503411729,      -4.663463198,      -4.813591975,      -9.559884174
          0,           0,         141,      -5.522865086,      -4.662534009,       -4.80915277,      -9.557319861
          0,           0,         142,       -5.54312566,       -4.66260906,      -4.806238174,      -9.554639155
          0,           0,         143,      -5.563558697,      -4.663804227,      -4.805206942,      -9.551753758
          0,           0,         144,      -5.583373749,      -4.666183074,      -4.806322004,      -9.548738438
          0,           0,         145,      -5.601706043,      -4.669758999,      -4.809772864,      -9.545505535
          0,           0,         146,      -5.617760678,      -4.674501768,      -4.815672615,      -9.542125047
          0,           0,         147,      -5.630802461,      -4.680340869,       -4.82411446,      -9.538573958
          0,           0,         148,      -5.640199488,      -4.687177771,      -4.835162279,      -9.534883556
          0,           0,         149,      -5.645624976,      -4.694886055,       -4.84883598,      -9.530938131
          0,           0,         150,       -5.64715306,      -4.703311387,      -4.865109935,      -9.526883972
          0,           0,         151,      -5.645281981,      -4.712275108,      -4.883873456,      -9.522688585
          0,           0,         152,      -5.640669844,      -4.721576108,      -4.904976045,      -9.518320466
          0,           0,         153,      -5.634055309,      -4.731005437,      -4.928133573,      -9.513826097
          0,           0,         154,      -5.626242498,      -4.740344569,       -4.95288259,      -9.509099614
          0,           0,         155,      -5.618008325,      -4.749373324,      -4.978522497,      -9.504254494
          0,           0,         156,      -5.610035597,      -4.757880904,      -5.004056611,      -9.499225516
          0,           0,         157,      -5.602899601,      -4.765677107,      -5.028157552,      -9.494003687
          0,           0,         158,      -5.597057536,      -4.772603653,      -5.049253061,      -9.488650016
          0,           0,         159,      -5.592869062,      -4.778546629,      -5.065708477,      -9.483077799
          0,           0,         160,      -5.590629134,      -4.783443176,      -5.076160312,      -9.477338675
          0,           0,         161,      -5.590581953,      -4.787285075,      -5.079916909,      -9.471438087
          0,           0,         162,       -5.59292568,       -4.79012044,      -5.077196645,      -9.465381458
          0,           0,         163,        -5.5978178,      -4.792045872,      -5.069063214,      -9.459269886
          0,           0,         164,      -5.605377797,      -4.793199607,      -5.057099458,      -9.453159606
          0,           0,         165,      -5.615684236,      -4.793751467,      -5.043013112,      -9.447060688
          0,           0,         166,      -5.628755768,      -4.793888741,      -5.028349391,      -9.440891898
          0,           0,         167,      -5.644529519,      -4.793803817,      -5.014356937,      -9.434703661
          0,           0,         168,      -5.662862413,      -4.793685055,      -5.001960431,      -9.428396122
          0,           0,         169,        -5.6834095,      -4.793706341,      -4.991826349,      -9.422174417
          0,           0,         170,      -5.705658776,      -4.794022029,      -4.984401942,      -9.415954186
          0,           0,         171,       -5.72887271,      -4.794759622,      -4.979975268,      -9.409879406
          0,           0,         172,      -5.751949578,      -4.796015417,       -4.97873544,      -9.403857055
          0,           0,         173,      -5.773430844,      -4.797854109,      -4.980797434,      -9.398036247
          0,           0,         174,      -5.791678463,      -4.800306166,      -4.986207402,      -9.392266054
          0,           0,         175,       -5.80503062,      -4.803363583,      -4.994960597,      -9.386634737
          0,           0,         176,      -5.812205664,      -4.806981752,      -5.006989943,      -9.381241035
          0,           0,         177,       -5.81270406,      -4.811079235,      -5.022144219,      -9.376153896
          0,           0,         178,      -5.806993478,      -4.815538511,      -5.040150205,      -9.371308121
          0,           0,         179,      -5.796354587,      -4.820209357,      -5.060556693,      -9.366612243
          0,           0,         180,      -5.782491652,      -4.824914705,       -5.08266161,      -9.361982385
          0,           0,         181,      -5.767126713,       -4.82945961,      -5.105434407,      -9.357640892
          0,           0,         182,      -5.751671165,      -4.833642994,      -5.127485387,      -9.353444105
          0,           0,         183,      -5.737386096,      -4.837278446,      -5.147021419,      -9.349465768
