"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         102,      -5.316468782,      -4.693436293,      -4.807667909,      -9.893842554
          0,           0,         103,      -5.328497103,      -4.706289504,       -4.81168463,      -9.889080738
          0,           0,         104,        -5.3411055,      -4.720010612,      -4.817282057,      -9.884345021
          0,           0,         105,      -5.354150898,      -4.734114063,      -4.825001782,      -9.879670851
          0,           0,         106,       -5.36739859,      -4.748022343,      -4.835172633,      -9.874903305
          0,           0,         107,      -5.380589158,       -4.76110993,      -4.847899684,      -9.869978689
          0,           0,         108,      -5.393513818,      -4.772781841,      -4.863065187,      -9.864888393
          0,           0,         109,      -5.405916196,      -4.782580381,      -4.880304743,      -9.859580711
          0,           0,         110,      -5.417715841,      -4.790252052,      -4.899027208,      -9.854066973
          0,           0,         111,      -5.428959874,      -4.795815451,      -4.918405497,      -9.848363335
          0,           0,         112,       -5.43974731,      -4.799538573,      -4.937402322,      -9.842499802
          0,           0,         113,      -5.450414533,       -4.80188191,      -4.954901115,      -9.836459817
          0,           0,         114,      -5.461270099,      -4.803442565,      -4.969863829,      -9.830243005
          0,           0,         115,      -5.472623149,      -4.804859642,      -4.981540565,      -9.823935942
          0,           0,         116,      -5.484769186,      -4.806733806,      -4.989651123,       -9.81751486
          0,           0,         117,      -5.497933788,      -4.809577672,      -4.994452252,      -9.810968237
          0,           0,         118,      -5.512343892,      -4.813770314,       -4.99666602,      -9.804332502
          0,           0,         119,      -5.528103579,       -4.81956773,      -4.997310752,      -9.797618131
          0,           0,         120,       -5.54512497,      -4.827109777,      -4.997495292,      -9.790828071
          0,           0,         121,      -5.563226226,       -4.83640664,      -4.998243245,      -9.783951169
          0,           0,         122,      -5.582342993,      -4.847321763,      -5.000404664,      -9.777002834
          0,           0,         123,      -5.601936275,      -4.859644785,      -5.004651815,      -9.770014204
          0,           0,         124,      -5.621422744,      -4.873047238,      -5.011463684,      -9.763027028
          0,           0,         125,      -5.640215697,      -4.887094261,      -5.021145699,       -9.75603336
          0,           0,         126,      -5.657734008,      -4.901266699,      -5.033850271,      -9.749027548
          0,           0,         127,      -5.673454623,      -4.914996239,      -5.049589417,      -9.742035061
          0,           0,         128,      -5.687022449,      -4.927714667,      -5.068245177,      -9.735033832
          0,           0,         129,      -5.698188927,      -4.938924442,      -5.089530768,      -9.728102268
          0,           0,         130,      -5.707009594,      -4.948260923,      -5.112987928,      -9.721227628
          0,           0,         131,       -5.71375811,      -4.955544491,      -5.137976675,       -9.71442913
          0,           0,         132,      -5.718699251,      -4.960810694,      -5.163588125,      -9.707682276
